	Index	Exp. Data Info	Exp. ValuePred. Value	Relative Err.
1		1.491	1.568	0.764
2		-0.020	0.603	6.230 ***
3		-2.865	-2.905	-0.402
4		-0.326	-0.161	1.650
5		-0.399	-0.247	1.512
6		-1.427	-1.480	-0.536
7		0.171	0.214	0.427
8		-1.443	-1.294	1.494
9		1.612	1.348	-2.635 *
10		0.600	0.717	1.174
11		2.380	2.515	1.351
12		-2.070	-2.066	0.041
13		0.782	0.879	0.968
14		-1.394	-1.261	1.337
15		0.549	0.677	1.281
16		-0.629	-0.637	-0.082
17		0.091	-0.025	-1.154
18		0.353	0.420	0.670
19		-1.862	-1.826	0.361
20		-1.446	-1.440	0.061
21		-1.378	-1.332	0.453
22		-0.179	-0.341	-1.620
23		0.461	0.401	-0.604
24		1.869	1.588	-2.815 *
25		1.106	1.196	0.895
26		0.700	0.661	-0.383
27		1.329	1.257	-0.717
28		2.241	2.303	0.621
29		1.367	1.285	-0.823
30		-0.044	-0.189	-1.449
31		3.078	3.014	-0.636
32		3.112	3.034	-0.776
33		1.029	1.063	0.345
34		0.979	0.979	-0.002
35		2.281	2.349	0.673
36		-0.471	-0.393	0.777
37		0.354	0.276	-0.779
38		-2.071	-2.135	-0.638
39		2.552	2.499	-0.536
40		2.140	2.143	0.030
41		2.562	2.591	0.293
42		1.391	1.436	0.450
43		-1.072	-0.910	1.625
44		-1.470	-1.496	-0.253
45		1.450	1.319	-1.307
46		-1.923	-1.779	1.439
47		-2.757	-2.852	-0.946
48		0.973	1.028	0.554
49		0.606	0.540	-0.659
50		-2.879	-2.838	0.413
51		-2.684	-2.601	0.833
52		2.961	2.995	0.345
53		0.942	1.024	0.818
54		-1.161	-1.193	-0.321
55		0.343	0.194	-1.492
56		0.053	-0.222	-2.752 *
57		0.157	0.085	-0.721
58		2.185	1.992	-1.933
59		0.159	0.165	0.063
60		-0.287	-0.235	0.523
61		0.157	0.270	1.131
62		-0.342	-0.369	-0.278
63		1.953	1.903	-0.505
64		-0.262	-0.221	0.401
65		-1.364	-1.363	0.013
66		1.041	1.174	1.331
67		1.569	1.860	2.903 *
68		3.088	3.080	-0.089
69		1.528	1.616	0.877
70		-0.434	-0.556	-1.227
